																action																									goto
	int	float	char	ID	SEMI	COMMA	ASSIGNOP	RELOP	PLUS	MINUS	STAR	DIV	AND	OR	DOT	NOT	LP	RP	LB	RB	LC	RC	STRUCT	RETURN	IF	ELSE	WHILE	NUM	Epsilon	$	|	ExtDefList	ExtDef	ExtDecList	Specifier	TYPE	VarDec	FunDec	VarList	ParamDec	CompSt	StmtList	Stmt	DefList	Def	DecList	Dec	Exp	Args	
0	S1	S2	S3																										S4		|	5	6		7	8														
1				R9	R9																										|																			
2				R10	R10																										|																			
3				R11	R11																										|																			
4																														R2	|																			
5																														ACC	|																			
6	S1	S2	S3																										S4		|	9	6		7	8														
7				S10	S11																										|			12			13	14												
8				R8	R8																										|																			
9																														R1	|																			
10					R12	R12											S15		R12												|																			
11	R5	R5	R5																											R5	|																			
12					S16																										|																			
13					R6	S17													S18												|																			
14																					S19										|										20									
15	S21	S22	S23															S24													|				25	26			27	28										
16	R3	R3	R3																											R3	|																			
17				S29																											|			30			13													
18																												S31			|																			
19	S21	S22	S23																										S32		|				33	26								34	35					
20	R4	R4	R4																											R4	|																			
21				R9																											|																			
22				R10																											|																			
23				R11																											|																			
24																					R15										|																			
25				S36																											|						37													
26				R8																											|																			
27																		S38													|																			
28						S39												R17													|																			
29					R12	R12													R12												|																			
30					R7																										|																			
31																				S40											|																			
32				R29						R29						R29	R29				R29	R29		R29	R29		R29	R29			|																			
33				S41																											|						42									43	44			
34				S45						S46						S47	S48				S49			S50	S51		S52	S53	S54		|										55	56	57					58		
35	S21	S22	S23																										S32		|				33	26								59	35					
36						R12												R12	R12												|																			
37						R18												R18	S60												|																			
38																					R14										|																			
39	S21	S22	S23																												|				25	26			61	28										
40					R13	R13													R13												|																			
41					R12	R12	R12												R12												|																			
42					R33	R33	S62												S63												|																			
43					S64																										|																			
44					R31	S65																									|																			
45					R50		R50	R50	R50	R50	R50	R50	R50	R50	R50		S66		R50												|																			
46				S45						S46						S47	S48											S53			|																	67		
47				S45						S46						S47	S48											S53			|																	68		
48				S69						S70						S71	S72											S73			|																	74		
49	S21	S22	S23																										S32		|				33	26								75	35					
50				S45						S46						S47	S48											S53			|																	76		
51																	S77														|																			
52																	S78														|																			
53					R51		R51	R51	R51	R51	R51	R51	R51	R51	R51				R51												|																			
54																						R21									|																			
55				R23						R23						R23	R23				R23	R23		R23	R23		R23	R23			|																			
56																						S79									|																			
57				S45						S46						S47	S48				S49			S50	S51		S52	S53	S54		|										55	80	57					58		
58					S81		S82	S83	S84	S85	S86	S87	S88	S89	S90				S91												|																			
59				R28						R28						R28	R28				R28	R28		R28	R28		R28	R28			|																			
60																												S92			|																			
61																		R16													|																			
62				S93						S94						S95	S96											S97			|																	98		
63																												S99			|																			
64	R30	R30	R30	R30						R30						R30	R30				R30	R30		R30	R30		R30	R30			|																			
65				S41																											|						42									100	44			
66				S101						S102						S103	S104	S105										S106			|																	107	108	
67					R44		S82	S83	S84	S85	S86	S87	S88	S89	S90				S91												|																			
68					R45		S82	S83	S84	S85	S86	S87	S88	S89	S90				S91												|																			
69							R50	R50	R50	R50	R50	R50	R50	R50	R50		S109	R50	R50												|																			
70				S69						S70						S71	S72											S73			|																	110		
71				S69						S70						S71	S72											S73			|																	111		
72				S69						S70						S71	S72											S73			|																	112		
73							R51	R51	R51	R51	R51	R51	R51	R51	R51			R51	R51												|																			
74							S113	S114	S115	S116	S117	S118	S119	S120	S121			S122	S123												|																			
75				S45						S46						S47	S48				S49			S50	S51		S52	S53	S54		|										55	124	57					58		
76					S125		S82	S83	S84	S85	S86	S87	S88	S89	S90				S91												|																			
77				S69						S70						S71	S72											S73			|																	126		
78				S69						S70						S71	S72											S73			|																	127		
79	R19	R19	R19																											R19	|																			
80																						R20									|																			
81				R22						R22						R22	R22				R22	R22		R22	R22		R22	R22			|																			
82				S45						S46						S47	S48											S53			|																	128		
83				S45						S46						S47	S48											S53			|																	129		
84				S45						S46						S47	S48											S53			|																	130		
85				S45						S46						S47	S48											S53			|																	131		
86				S45						S46						S47	S48											S53			|																	132		
87				S45						S46						S47	S48											S53			|																	133		
88				S45						S46						S47	S48											S53			|																	134		
89				S45						S46						S47	S48											S53			|																	135		
90				S136																											|																			
91				S137						S138						S139	S140											S141			|																	142		
92																				S143											|																			
93					R50	R50	R50	R50	R50	R50	R50	R50	R50	R50	R50		S144		R50												|																			
94				S93						S94						S95	S96											S97			|																	145		
95				S93						S94						S95	S96											S97			|																	146		
96				S69						S70						S71	S72											S73			|																	147		
97					R51	R51	R51	R51	R51	R51	R51	R51	R51	R51	R51				R51												|																			
98					R34	R34	S148	S149	S150	S151	S152	S153	S154	S155	S156				S157												|																			
99																				S158											|																			
100					R32																										|																			
101						R50	R50	R50	R50	R50	R50	R50	R50	R50	R50		S159	R50	R50												|																			
102				S101						S102						S103	S104											S106			|																	160		
103				S101						S102						S103	S104											S106			|																	161		
104				S69						S70						S71	S72											S73			|																	162		
105					R47		R47	R47	R47	R47	R47	R47	R47	R47	R47				R47												|																			
106						R51	R51	R51	R51	R51	R51	R51	R51	R51	R51			R51	R51												|																			
